user_id,age,gender,location,signup_date,preferred_brands,spending_power,avg_purchase_value,total_purchases
U00090,33,F,San Antonio,2023-11-02,"Samsung,Dell,HP",medium,507.49,5
U00091,38,Other,Philadelphia,2024-07-11,Dell,medium,503.57,10
U00092,19,F,New York,2023-11-01,"Apple,Samsung,Sony",low,255.31,10
U00093,38,M,Chicago,2025-04-12,"Dell,Samsung",medium,542.08,8
U00094,18,M,Houston,2024-06-26,"Apple,Sony",low,166.47,8
U00095,38,Other,Dallas,2024-04-08,Apple,medium,308.16,7
U00096,46,M,San Antonio,2024-05-11,Dell,high,694.46,6
U00097,51,F,Philadelphia,2023-11-18,"Samsung,Dell",high,437.19,7
U00098,24,F,New York,2024-01-17,Dell,low,86.38,7
U00099,37,M,Philadelphia,2023-12-25,HP,medium,664.52,10
U00100,30,M,Philadelphia,2024-05-14,"Samsung,Apple",medium,326.9,12
U00101,18,M,San Antonio,2024-10-25,"Samsung,Apple",low,85.43,8
U00102,34,F,San Antonio,2025-05-06,"Dell,HP",medium,514.87,12
U00103,22,Other,Phoenix,2025-01-21,Apple,low,273.74,9
U00104,50,F,Philadelphia,2024-09-27,Samsung,high,719.13,4
U00105,28,F,San Diego,2024-03-29,"Samsung,Dell,HP",medium,747.56,10
U00106,51,Other,San Antonio,2025-07-18,"HP,Samsung,Apple",high,1167.27,4
U00107,34,Other,San Jose,2025-03-02,"Sony,Apple",medium,290.3,11
U00108,37,F,Chicago,2024-03-04,"Apple,Dell",medium,357.68,9
U00109,27,Other,New York,2024-04-23,Dell,medium,583.35,9
U00110,49,Other,Los Angeles,2025-06-21,Samsung,high,804.21,8
U00111,41,Other,Chicago,2023-11-21,"Samsung,Sony",high,551.72,7
U00112,48,M,San Jose,2025-07-14,"Sony,Apple",high,662.33,9
U00113,18,F,Dallas,2025-03-23,"Dell,HP,Samsung",low,152.6,14
U00114,40,F,Dallas,2024-05-18,"Sony,Apple,Dell",high,850.59,8
U00115,44,F,Chicago,2024-01-09,"Samsung,Dell,HP",high,642.03,13
U00116,18,Other,San Antonio,2023-10-18,"HP,Apple",low,298.84,7
U00117,29,M,Los Angeles,2023-10-02,HP,medium,759.5,7
U00118,36,M,San Diego,2023-10-29,"Apple,Dell,Sony",medium,548.74,9
U00119,42,M,Phoenix,2024-05-24,Samsung,high,1232.26,6
U00120,46,Other,San Antonio,2025-04-02,Dell,high,1440.66,10
U00121,35,F,San Diego,2024-06-01,"Dell,Apple,Samsung",medium,669.32,12
U00122,32,Other,Phoenix,2024-10-27,"Sony,HP,Samsung",medium,603.98,8
U00123,26,M,San Antonio,2025-06-25,Apple,medium,292.03,5
U00124,34,F,Dallas,2023-11-22,"Sony,Samsung",medium,775.5,8
U00125,23,F,Houston,2024-01-06,"Samsung,Dell",low,257.14,7
U00126,34,Other,San Antonio,2025-03-19,"Dell,Samsung,HP",medium,742.5,4
U00127,32,Other,Chicago,2024-05-07,Apple,medium,626.01,6
U00128,26,M,Dallas,2025-03-29,"HP,Dell,Sony",medium,750.0,6
U00129,39,Other,Chicago,2024-09-01,Apple,medium,255.96,11
U00130,43,F,New York,2023-10-24,"Samsung,Apple,Sony",high,1149.09,6
U00131,41,M,San Jose,2024-07-02,Samsung,high,1480.1,10
U00132,28,Other,Philadelphia,2025-01-18,Samsung,medium,378.15,7
U00133,18,Other,Houston,2024-07-06,"Apple,Sony",low,70.74,12
U00134,59,M,New York,2023-10-14,"Apple,HP,Samsung",high,1412.64,10
U00135,18,M,Los Angeles,2025-03-05,"Sony,Samsung",low,73.19,8
U00136,37,F,Philadelphia,2024-12-28,"Apple,Dell",medium,677.26,6
U00137,31,F,Los Angeles,2024-03-17,"Apple,Samsung,Sony",medium,451.94,5
U00138,49,F,San Diego,2025-02-14,Sony,high,312.17,10
U00139,43,M,San Jose,2023-10-21,"Apple,HP,Samsung",high,1492.49,5
U00140,35,F,San Jose,2023-11-22,"Apple,Samsung,Sony",medium,645.02,4
U00141,36,M,Houston,2023-11-16,HP,medium,213.82,6
U00142,40,Other,Chicago,2024-12-19,"Apple,Samsung",high,335.4,9
U00143,45,M,Houston,2025-05-04,"Samsung,Sony,HP",high,877.89,10
U00144,40,M,Philadelphia,2023-08-03,"Sony,Dell,HP",high,1270.81,8
U00145,38,F,Dallas,2024-06-14,Sony,medium,303.78,13
U00146,40,Other,Phoenix,2024-06-21,HP,high,1251.78,8
U00147,37,Other,Phoenix,2025-02-09,Dell,medium,460.08,8
U00148,26,F,San Antonio,2023-11-26,"Sony,HP,Dell",medium,264.54,9
U00149,44,F,San Antonio,2025-01-05,"Sony,HP,Dell",high,1283.21,6
U00150,38,F,Chicago,2025-06-24,"Sony,Dell,Samsung",medium,562.33,9
U00151,33,Other,Dallas,2024-08-02,"Apple,HP",medium,307.94,8
U00152,33,F,San Antonio,2025-01-19,"Samsung,Apple",medium,329.11,9
U00153,18,F,Philadelphia,2025-03-02,"Apple,HP",low,129.65,9
U00154,55,M,Philadelphia,2024-12-22,"HP,Sony",high,1378.49,8
U00155,49,Other,Los Angeles,2024-06-29,"HP,Samsung",high,932.71,9
U00156,54,M,Dallas,2024-10-17,"HP,Apple,Sony",high,1371.2,8
U00157,28,F,San Antonio,2024-09-06,"Samsung,HP",medium,229.8,4
U00158,22,F,San Diego,2025-06-11,"Dell,Apple",low,81.02,13
U00159,36,M,San Jose,2024-08-28,"Dell,Samsung,Sony",medium,212.76,8
U00160,26,M,San Jose,2025-07-24,"Sony,Samsung",medium,704.99,12
U00161,28,F,New York,2024-01-29,"Apple,Sony,Dell",medium,209.76,7
U00162,39,F,Los Angeles,2024-05-29,"Sony,HP,Samsung",medium,652.22,13
U00163,29,F,Los Angeles,2024-01-06,"Dell,Apple",medium,436.0,9
U00164,48,Other,San Diego,2024-03-10,"Apple,Sony,Dell",high,423.29,12
U00165,27,M,New York,2025-07-18,Apple,medium,796.12,6
U00166,32,Other,San Antonio,2024-12-09,Apple,medium,314.7,7
U00167,26,F,Dallas,2025-07-23,"Apple,Sony,HP",medium,266.48,6
U00168,34,F,Los Angeles,2024-10-31,"HP,Dell",medium,361.95,8
U00169,40,M,Chicago,2023-12-09,"Apple,Samsung",high,683.2,9
U00170,62,M,San Jose,2024-05-31,"Dell,Apple,Sony",high,933.11,3
U00171,45,Other,San Diego,2023-09-20,"Sony,HP",high,1227.17,3
U00172,25,F,Houston,2025-04-25,"Sony,Apple",medium,411.81,9
U00173,20,M,Houston,2023-08-17,Apple,low,292.94,13
U00174,34,M,Houston,2025-07-15,"Samsung,Dell,HP",medium,312.75,9
U00175,20,M,Philadelphia,2024-12-27,"HP,Sony,Samsung",low,227.13,6
U00176,35,Other,Chicago,2024-02-28,Samsung,medium,331.27,4
U00177,23,F,San Antonio,2024-04-21,"HP,Samsung,Dell",low,96.99,7
U00178,19,F,San Antonio,2025-02-10,"Sony,Apple,Dell",low,165.24,5
U00179,19,M,Los Angeles,2024-11-24,Dell,low,96.76,8
U00180,28,M,San Diego,2023-09-20,"Dell,Sony,Samsung",medium,271.0,11
U00181,59,Other,Los Angeles,2024-07-31,"Samsung,HP",high,776.31,11
U00182,21,F,Dallas,2024-08-21,Dell,low,118.15,11
U00183,39,M,New York,2023-10-03,"Dell,Samsung",medium,376.4,14
U00184,27,F,Chicago,2023-11-28,"HP,Dell",medium,511.17,5
U00185,50,M,New York,2023-10-06,Apple,high,563.5,8
U00186,29,M,New York,2023-12-17,"Samsung,Apple",medium,519.28,7
U00187,43,F,Houston,2023-11-01,"Dell,HP,Samsung",high,421.57,9
U00188,30,Other,Phoenix,2024-03-08,Samsung,medium,671.44,7
U00189,53,F,Phoenix,2023-08-06,"Sony,Apple,Dell",high,522.09,8
U00190,59,Other,San Jose,2024-03-27,"Sony,Samsung,Apple",high,678.13,9
U00191,40,M,Chicago,2025-01-18,"Dell,Samsung",high,1454.69,13
U00192,18,Other,San Diego,2024-05-16,"Apple,Samsung",low,293.59,3
U00193,28,M,Chicago,2023-09-02,HP,medium,411.29,11
U00194,44,F,San Jose,2025-07-27,"Samsung,Dell",high,431.26,8
U00195,44,M,San Jose,2023-09-01,"Samsung,HP",high,1205.99,4
U00196,49,M,Los Angeles,2024-09-20,"Sony,Dell,Samsung",high,1181.78,7
U00197,28,Other,Phoenix,2023-09-18,"Sony,HP",medium,475.25,7
U00198,34,F,Phoenix,2023-08-01,"HP,Dell",medium,267.66,10
U00199,38,Other,Dallas,2023-10-12,Samsung,medium,787.18,7
U00200,18,M,Chicago,2024-07-28,"Apple,Samsung",low,194.4,9
U00201,22,Other,San Antonio,2024-07-25,Apple,low,98.46,9
U00202,18,F,Los Angeles,2024-10-21,"HP,Dell,Sony",low,93.74,6
U00203,48,Other,Philadelphia,2024-08-23,"HP,Dell",high,1434.32,9
U00204,25,F,Phoenix,2025-01-14,HP,medium,512.05,8
U00205,36,F,San Jose,2025-03-25,"Dell,Sony",medium,373.05,12
U00206,18,M,San Diego,2023-08-27,Dell,low,220.23,8
U00207,59,Other,Phoenix,2023-10-29,"Samsung,Sony,HP",high,645.91,11
U00208,22,F,New York,2024-04-20,Samsung,low,120.75,6
U00209,25,Other,Los Angeles,2025-06-04,"Sony,Apple",medium,458.19,12
U00210,42,Other,New York,2025-06-07,"Samsung,Sony",high,1354.47,6
U00211,44,Other,Dallas,2025-02-20,Sony,high,471.17,10
U00212,50,Other,Houston,2024-05-12,"Apple,Sony,HP",high,338.56,9
U00213,41,F,Houston,2023-09-03,"Dell,HP,Samsung",high,1460.29,12
U00214,37,M,Phoenix,2024-09-22,"Sony,Samsung,HP",medium,461.49,7
U00215,29,F,San Jose,2025-03-08,"Samsung,Sony,Apple",medium,449.79,10
U00216,44,M,Phoenix,2024-09-19,Sony,high,980.0,4
U00217,18,Other,San Diego,2024-01-17,Dell,low,245.6,10
U00218,31,F,Los Angeles,2025-03-09,"Dell,Sony,HP",medium,760.93,4
U00219,26,Other,Philadelphia,2024-04-05,"Dell,HP",medium,452.3,10
U00220,35,F,San Diego,2025-06-30,"Apple,Dell,HP",medium,653.51,12
U00221,31,Other,Phoenix,2024-11-22,"HP,Sony,Apple",medium,572.53,9
U00222,18,Other,Phoenix,2025-06-04,"Samsung,Dell",low,217.52,5
U00223,40,F,Dallas,2024-04-13,Apple,high,365.63,3
U00224,20,Other,Los Angeles,2024-08-21,"Apple,Sony,Dell",low,170.37,2
U00225,31,F,New York,2025-03-26,"HP,Apple,Sony",medium,323.04,8
U00226,25,M,Dallas,2024-03-08,Samsung,medium,737.03,9
U00227,44,Other,Chicago,2024-09-23,"Sony,Apple,Samsung",high,1048.4,6
U00228,32,M,Los Angeles,2025-05-21,Samsung,medium,562.27,4
U00229,26,M,Dallas,2025-04-20,Samsung,medium,262.16,6
U00230,39,M,Dallas,2024-04-30,"Apple,HP",medium,379.95,7
U00231,43,F,Chicago,2024-11-30,"Sony,Dell,HP",high,1040.59,7
U00232,37,F,Chicago,2023-10-16,Samsung,medium,285.01,5
U00233,36,Other,Houston,2025-02-04,"HP,Samsung,Dell",medium,488.28,15
U00234,22,F,Los Angeles,2023-12-04,"Sony,HP",low,147.8,9
U00235,31,Other,Los Angeles,2024-04-09,"Dell,Samsung",medium,216.78,5
U00236,44,F,Los Angeles,2023-12-29,"Apple,Sony",high,340.9,9
U00237,29,Other,San Jose,2024-04-29,Sony,medium,777.68,4
U00238,34,F,San Diego,2024-10-18,Samsung,medium,414.65,5
U00239,33,Other,Houston,2024-08-05,"HP,Dell,Sony",medium,237.66,11
U00240,37,Other,Chicago,2024-08-02,"HP,Sony,Samsung",medium,629.11,7
U00241,19,M,Phoenix,2023-09-23,"Dell,Apple",low,279.04,12
U00242,24,Other,San Diego,2024-07-08,"HP,Samsung",low,194.01,6
U00243,38,Other,Dallas,2024-11-05,Sony,medium,553.31,8
U00244,56,Other,Philadelphia,2023-12-08,"Dell,Apple,HP",high,335.43,11
U00245,47,Other,Chicago,2024-12-03,Apple,high,899.32,12
U00246,37,Other,San Diego,2024-08-31,Samsung,medium,263.26,10
U00247,23,M,San Antonio,2024-05-24,Apple,low,202.98,6
U00248,18,M,New York,2025-05-15,"Sony,Apple",low,280.89,6
U00249,44,F,Los Angeles,2023-08-13,"Dell,Samsung",high,1486.65,8
U00250,44,Other,Dallas,2025-01-05,Sony,high,889.32,5
U00251,35,Other,Phoenix,2024-12-10,Samsung,medium,460.44,5
U00252,42,Other,Houston,2025-05-01,"Apple,HP,Dell",high,339.89,7
U00253,31,M,New York,2024-07-25,"HP,Apple",medium,404.43,10
U00254,42,Other,Dallas,2024-03-07,Samsung,high,984.44,10
U00255,26,F,Dallas,2024-08-02,"HP,Samsung",medium,680.96,6
U00256,45,F,San Antonio,2023-10-27,"Apple,HP",high,452.63,0
U00257,27,Other,Phoenix,2025-04-16,Dell,medium,338.34,4
U00258,35,Other,Dallas,2024-08-24,Samsung,medium,692.8,7
U00259,38,F,Phoenix,2024-06-24,"Sony,Apple,Dell",medium,780.87,10
U00260,37,M,Dallas,2023-12-17,HP,medium,759.09,11
U00261,39,Other,Phoenix,2024-06-15,"Apple,HP,Sony",medium,482.59,6
U00262,33,F,New York,2025-06-25,"Dell,Sony",medium,320.31,12
U00263,50,M,Chicago,2024-12-31,"Sony,Apple,Dell",high,892.27,8
U00264,44,Other,San Jose,2023-08-09,Sony,high,1477.27,4
U00265,18,F,San Jose,2023-11-09,HP,low,169.69,4
U00266,21,M,Phoenix,2025-06-16,Apple,low,174.15,7
U00267,43,M,Philadelphia,2024-05-13,"Sony,Samsung",high,325.73,6
U00268,43,M,New York,2025-01-09,"HP,Dell,Sony",high,1120.31,5
U00269,46,M,Dallas,2024-03-22,Dell,high,1218.82,9
U00270,18,Other,Chicago,2024-05-14,"Dell,Samsung,Apple",low,159.49,10
U00271,19,Other,Philadelphia,2024-08-02,Sony,low,159.13,8
U00272,27,M,Houston,2024-12-03,HP,medium,206.03,8
U00273,24,F,Dallas,2023-12-25,Apple,low,268.31,7
U00274,60,M,New York,2025-05-11,Samsung,high,826.27,6
U00275,40,F,New York,2024-09-10,"HP,Samsung",high,1497.71,11
U00276,39,M,San Jose,2024-06-16,"Apple,HP",medium,245.83,14
U00277,23,Other,Houston,2024-03-09,"Sony,Samsung,Dell",low,228.28,4
U00278,40,F,Dallas,2024-10-02,"Samsung,Sony,HP",high,1137.33,8
U00279,29,Other,Los Angeles,2025-06-03,"Dell,HP",medium,367.87,7
U00280,34,M,Chicago,2024-02-11,Sony,medium,645.15,13
U00281,35,M,Los Angeles,2024-07-12,"Samsung,Apple,Dell",medium,619.01,2
U00282,23,Other,San Diego,2025-04-03,Dell,low,259.08,10
U00283,32,F,Phoenix,2023-12-04,"Sony,Apple",medium,235.83,8
U00284,46,Other,San Antonio,2024-03-08,Dell,high,761.6,7
U00285,47,M,Houston,2024-12-30,"Samsung,Dell",high,938.99,6
U00286,43,Other,Phoenix,2025-06-26,"Sony,Apple,HP",high,1205.37,2
U00287,43,F,Phoenix,2023-12-01,Apple,high,709.13,5
U00288,18,Other,San Antonio,2024-05-17,"Apple,HP,Sony",low,147.03,3
U00289,49,Other,Phoenix,2024-01-28,"Dell,Sony",high,495.06,12
U00290,44,F,San Diego,2024-11-27,Apple,high,636.84,9
U00291,42,Other,Phoenix,2025-05-02,HP,high,654.99,11
U00292,18,Other,San Antonio,2025-06-19,"Sony,HP,Samsung",low,214.81,15
U00293,21,Other,San Jose,2025-07-16,Sony,low,192.11,5
U00294,30,F,Phoenix,2025-01-26,"Dell,Apple",medium,463.95,12
U00295,37,F,New York,2024-07-26,"HP,Samsung",medium,445.17,8
U00296,51,Other,Los Angeles,2024-10-18,"HP,Sony,Apple",high,828.53,7
U00297,18,F,Phoenix,2024-11-05,"Samsung,HP",low,207.58,8
U00298,39,M,San Jose,2023-09-26,Samsung,medium,268.67,9
U00299,53,M,Chicago,2023-08-28,"Dell,Sony,Apple",high,964.09,5
U00300,29,M,New York,2024-11-05,"Apple,Sony",medium,524.26,8
U00301,18,M,San Jose,2024-11-30,"Apple,HP",low,176.73,7
U00302,27,M,Dallas,2025-05-10,Samsung,medium,395.47,7
U00303,44,F,San Antonio,2025-05-16,"Dell,Sony,Apple",high,329.63,8
U00304,21,Other,Philadelphia,2024-08-19,"Sony,Dell",low,285.62,8
U00305,18,F,San Jose,2025-06-27,Sony,low,61.15,8
U00306,41,M,San Jose,2025-07-02,HP,high,553.78,8
U00307,55,F,Dallas,2024-02-24,"Sony,Samsung,Dell",high,1296.87,7
U00308,51,M,Chicago,2024-07-03,"Apple,HP,Dell",high,978.48,4
U00309,55,Other,Dallas,2024-05-26,"Apple,HP,Sony",high,866.79,13
U00310,31,Other,Dallas,2024-05-03,"Sony,Samsung",medium,701.61,10
U00311,18,F,Houston,2024-08-26,Sony,low,107.72,9
U00312,43,F,Los Angeles,2023-08-19,Dell,high,1179.36,6
U00313,55,F,Philadelphia,2025-05-08,"HP,Apple",high,1397.56,4
U00314,22,Other,San Diego,2023-11-17,Dell,low,246.58,9
U00315,18,M,San Jose,2025-03-22,"Samsung,Dell,Sony",low,196.19,12
U00316,19,M,San Jose,2024-11-04,"Sony,HP",low,79.49,11
U00317,22,F,San Antonio,2024-02-27,HP,low,173.55,2
U00318,43,M,Chicago,2024-04-20,Samsung,high,444.95,5
U00319,26,F,Dallas,2023-07-31,"Apple,Samsung",medium,721.68,5
U00320,19,F,New York,2023-08-22,Apple,low,83.09,10
U00321,35,Other,San Antonio,2024-05-22,"Samsung,Dell",medium,618.16,7
U00322,19,M,Phoenix,2025-03-29,"Sony,Apple",low,298.53,7
U00323,34,M,Los Angeles,2024-07-30,"Dell,HP",medium,644.42,6
U00324,25,F,Phoenix,2024-03-27,"Samsung,HP,Sony",medium,659.57,11
U00325,49,Other,Los Angeles,2025-02-23,HP,high,1011.66,7
U00326,29,Other,San Diego,2024-07-05,"Dell,Samsung",medium,505.2,8
U00327,19,Other,Phoenix,2025-04-20,Sony,low,173.32,6
U00328,18,M,San Jose,2024-02-14,"HP,Dell,Samsung",low,130.7,4
U00329,38,F,Chicago,2025-03-04,Samsung,medium,458.32,10
U00330,53,F,San Jose,2023-11-06,"Apple,Sony",high,641.75,11
U00331,56,M,Phoenix,2024-10-21,"Dell,Samsung",high,1362.42,7
U00332,32,F,Phoenix,2023-11-16,Samsung,medium,599.86,8
U00333,36,M,Los Angeles,2024-12-29,"HP,Samsung,Apple",medium,559.03,7
U00334,34,M,Dallas,2024-01-25,Apple,medium,493.02,9
U00335,31,M,Philadelphia,2025-01-01,"HP,Dell",medium,639.25,11
U00336,40,Other,Chicago,2024-04-20,"Apple,HP",high,833.29,9
U00337,33,F,San Diego,2024-11-01,Samsung,medium,795.85,5
U00338,28,Other,Los Angeles,2024-07-31,Samsung,medium,636.42,6
U00339,39,F,Chicago,2024-02-25,"Sony,Dell",medium,578.37,15
U00340,48,Other,Los Angeles,2023-08-05,"Sony,Apple,Samsung",high,420.53,11
U00341,58,Other,Dallas,2024-09-06,HP,high,1093.36,9
U00342,35,Other,New York,2023-10-18,"Apple,Samsung,HP",medium,551.81,9
U00343,18,M,Houston,2024-10-30,"Samsung,Dell",low,253.47,7
U00344,31,Other,San Diego,2024-10-12,Samsung,medium,580.86,7
U00345,42,M,Dallas,2024-12-21,Dell,high,380.71,9
U00346,25,Other,San Jose,2024-12-27,"Samsung,Apple,HP",medium,612.79,8
U00347,27,Other,San Antonio,2023-10-21,"Samsung,Sony,HP",medium,518.28,4
U00348,26,M,Phoenix,2024-12-03,"Dell,HP",medium,678.05,9
U00349,25,F,San Jose,2024-07-28,"Dell,Sony,Apple",medium,331.36,6
U00350,19,F,San Antonio,2024-04-27,"Samsung,Dell",low,78.95,6
U00351,37,F,Philadelphia,2023-09-21,Sony,medium,618.18,6
U00352,67,Other,Chicago,2024-03-20,"HP,Dell",high,1124.67,10
U00353,31,M,Phoenix,2024-10-27,"Samsung,Dell,Apple",medium,537.35,10
U00354,45,F,Phoenix,2023-09-06,"Dell,HP",high,1270.84,8
U00355,38,F,San Antonio,2024-11-04,Sony,medium,491.3,6
U00356,18,M,Philadelphia,2023-10-16,Sony,low,161.91,10
U00357,49,M,San Jose,2025-02-08,"Samsung,Apple,Sony",high,1032.9,7
U00358,37,M,San Jose,2024-01-23,Apple,medium,681.45,3
U00359,27,M,Philadelphia,2024-08-01,"Apple,HP,Sony",medium,326.28,5
U00360,40,Other,Houston,2025-02-18,"Dell,Samsung,HP",high,1261.54,8
U00361,58,F,Philadelphia,2024-05-31,HP,high,1180.0,6
U00362,18,M,New York,2025-07-08,"Apple,Dell,Samsung",low,60.57,7
U00363,18,F,Phoenix,2025-07-04,Samsung,low,58.44,5
U00364,55,Other,Los Angeles,2024-07-07,"Dell,Samsung,Sony",high,1351.95,7
U00365,28,M,Los Angeles,2025-05-14,"Dell,Apple,HP",medium,645.59,7
U00366,39,Other,San Jose,2025-02-23,HP,medium,675.57,9
U00367,53,M,San Jose,2024-09-12,"Dell,Apple",high,662.58,8
U00368,46,F,Houston,2025-04-17,"HP,Dell",high,751.9,8
